% h_np (nm),h_extrude (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
400,19.999999999999996,0.912926104394417,4.965331107858613E13,0.9702081112802593
400,39.99999999999999,0.9064949261080547,3.5285539474040664E13,0.9576575095326864
400,60,0.9090463535663234,2.8868542520333656E13,0.9480367012248758
400,79.99999999999999,0.9116715200064159,2.5773645958496934E13,0.9381432714343199
400,100,0.9106542142692488,2.47481157556014E13,0.9257560545257288
400,120,0.900591401540755,2.598557099916574E13,0.9064518247562082
400,140,0.8602090802297424,3.266846552256059E13,0.8627923762681391
400,159.99999999999997,0.6389539805964503,6.635501779895318E13,0.6815003401542963
400,180,0.5924413192770237,5.9858459715232625E13,0.6767641401429685
400,200,0.8151302926677968,2.761806955446459E13,0.8342909069680823
400,219.99999999999997,0.8345896200972025,2.431362046059079E13,0.8395303267949868
400,240,0.8014888472246484,2.6432046747987484E13,0.8096898006494061
400,259.99999999999994,0.7188340013979813,3.214167159539415E13,0.7492930049637512
400,280,0.5473233415253475,4.3246513697080234E13,0.6367294951174802
400,300,0.2661456844469655,6.007800373060503E13,0.4592990653514768
400,319.99999999999994,0.09916818013466805,6.703660988380673E13,0.35644856351540266
400,340,0.3187773630708923,4.5379172923513336E13,0.5371324033221394
400,360,0.5641830083795242,2.7432256429770414E13,0.7037313702036406
400,379.99999999999994,0.7185367791981536,1.837379068264386E13,0.7905390306653436
400,400,0.7685023921163856,1.8687786696682203E13,0.775746140374308
450,19.999999999999996,0.8788371036262387,5.545604631736781E13,0.9625670349459468
450,39.99999999999999,0.8563614319849414,3.9644219021952484E13,0.9464836183959989
450,60,0.8543755518116041,3.2567194111247168E13,0.9340510837049459
450,79.99999999999999,0.8580529687407048,2.9320580169100664E13,0.9208323127634005
450,100,0.861194044980142,2.848166578672032E13,0.9038740474867427
450,120,0.8546062788762978,3.0571635887486156E13,0.8761848053872776
450,140,0.79911647598457,4.115771880083527E13,0.8055296259599787
450,159.99999999999997,0.3904192047789985,9.138820907607353E13,0.5065016971391829
450,180,0.6663037576227151,4.121608845300228E13,0.7496170700444544
450,200,0.7690043806628086,3.0841470122980836E13,0.7918216085471828
450,219.99999999999997,0.7457342920514155,3.293702844344029E13,0.7554454255433154
450,240,0.6448568067596919,3.938530955761836E13,0.6809785150401979
450,259.99999999999994,0.4365596254486965,4.939630467324419E13,0.5665467217755455
450,280,0.1600803359148458,5.7941597057750734E13,0.45245119870232964
450,300,0.08865783442586164,4.965794325729541E13,0.4972121046169936
450,319.99999999999994,0.2510895500296698,3.438866362127196E13,0.6286017730128564
450,340,0.4276042478164814,2.4506268839518508E13,0.7187897447054716
450,360,0.5518311875838585,1.978941726291357E13,0.759558696974907
450,379.99999999999994,0.6342722832003554,1.84643228378385E13,0.7631968900620758
450,400,0.6344144148055502,2.544757780278581E13,0.6564585850579998
500,19.999999999999996,0.8382334100204678,6.034012560252445E13,0.9547445334451448
500,39.99999999999999,0.7896578227974062,4.3061933099856664E13,0.9354068599938047
500,60,0.7763517085505991,3.5279947284944984E13,0.9206206409223847
500,79.99999999999999,0.7777535087651398,3.182126321952968E13,0.9045371193787151
500,100,0.784984927774842,3.1092323646171074E13,0.8834032428724866
500,120,0.7875645810134695,3.3656536356118633E13,0.8485473000537477
500,140,0.733657268621805,4.69602668789362E13,0.7534589674768843
500,159.99999999999997,0.30932512846229254,8.40261216173167E13,0.495843110396082
500,180,0.6522592007973208,3.942451223569277E13,0.7338865179984135
500,200,0.6756471139767612,4.006069226591119E13,0.6995371517870209
500,219.99999999999997,0.5722474542354986,4.7125271741131266E13,0.6112125923979725
500,240,0.3454116269017072,5.366406478838427E13,0.5170227661986294
500,259.99999999999994,0.10658296364331588,5.122316090405918E13,0.5005694426465096
500,280,0.06158981035707414,3.892238368475516E13,0.5913159725535139
500,300,0.1640513617646922,2.747132033421903E13,0.6909483886784675
500,319.99999999999994,0.27994243553748704,2.1102107348790277E13,0.7467748730119301
500,340,0.36784205279096643,1.8380891596891344E13,0.7656447095868248
500,360,0.42511972348863425,1.8299401167984844E13,0.7529582290754058
500,379.99999999999994,0.44194155762743526,2.195051984900282E13,0.687205637314646
500,400,0.35701920253014996,4.0971061658357586E13,0.38543391451304415
550,19.999999999999996,0.7948857993111408,6.3984571705109445E13,0.9472127479931768
550,39.99999999999999,0.7142536192513604,4.514937965994772E13,0.9255031415595677
550,60,0.6844764546326841,3.661725729073791E13,0.9093719461344165
550,79.99999999999999,0.6796881167676265,3.293354781414085E13,0.8913201899068125
550,100,0.6885103825042945,3.229046720508481E13,0.8668019722120832
550,120,0.7008518121064207,3.5066875834738156E13,0.8264183764471069
550,140,0.6648652174172546,4.937584821158868E13,0.7148550800061046
550,159.99999999999997,0.39810813090176334,6.243899792982182E13,0.5879045312546263
550,180,0.5893944635496131,4.731987713857973E13,0.648648101103902
550,200,0.4905702496708899,5.575120789690698E13,0.5400530775463294
550,219.99999999999997,0.24481289664382247,5.944707702808301E13,0.46051755024952856
550,240,0.060527629009736655,4.700802442607698E13,0.5346208358636236
550,259.99999999999994,0.0427563346959876,3.2609347940825426E13,0.6502632020848793
550,280,0.10535969782705591,2.363337327056554E13,0.7270348383606582
550,300,0.1755982659100033,1.900930421027461E13,0.7647604575431075
550,319.99999999999994,0.23057509250406236,1.7154647584178441E13,0.7735590629180366
550,340,0.2636745210004294,1.7228056405266615E13,0.7583772374708158
550,360,0.272666407797907,1.94648266678972E13,0.7109482963836241
550,379.99999999999994,0.2254917205941276,2.728215121796349E13,0.572352561812941
550,400,0.24043063560492062,4.4954006947334266E13,0.2582589085916076
600,19.999999999999996,0.7540090183896911,6.6325804017678586E13,0.9403064514578093
600,39.99999999999999,0.6412413472940462,4.591504247678764E13,0.9173526057860278
600,60,0.5944391966354078,3.6604456428198E13,0.9011689613420604
600,79.99999999999999,0.5817121022413023,3.2723081046548426E13,0.8821972647830392
600,100,0.5892784771696227,3.2258346850989766E13,0.8548383762349523
600,120,0.608407156910393,3.523043501533192E13,0.8097557826370289
600,140,0.5972323798582823,4.8839726608093305E13,0.6923108249765283
600,159.99999999999997,0.49550259069503655,5.464922078511642E13,0.6065255403833972
600,180,0.43195804625517753,6.1971444840816414E13,0.4980316747781314
600,200,0.17777217558507225,6.274522249643117E13,0.4352903547898952
600,219.99999999999997,0.029378284517200995,4.606663871744678E13,0.5439404775310348
600,240,0.039890210038390356,2.9285012525470516E13,0.6837212188128869
600,259.99999999999994,0.08637543748011045,2.1755184052593367E13,0.7454641176656173
600,280,0.1292140303922622,1.8502927114562348E13,0.7668635843569175
600,300,0.1611690867222968,1.7423793684151482E13,0.7647795473362565
600,319.99999999999994,0.17992732463219033,1.7820505323218082E13,0.7433854388924498
600,340,0.18077330130963862,1.9631263655370004E13,0.6996426562895968
600,360,0.15640474555197603,2.3809519709118105E13,0.6142857965956072
600,379.99999999999994,0.07991771811700006,3.482477526146464E13,0.4044962302860814
600,400,0.25421449052483314,3.746410116729188E13,0.32564695662926346
650,19.999999999999996,0.7199212901917197,6.756939777667632E13,0.9341200089855517
650,39.99999999999999,0.5802707542054275,4.5690461671979164E13,0.9109036785829534
650,60,0.5193254162972929,3.563119852627584E13,0.8957787441437175
650,79.99999999999999,0.499501467442394,3.15298579335321E13,0.8770335308724886
650,100,0.5047182153887765,3.129840485407026E13,0.847420256223187
650,120,0.5252637256529941,3.4931933197691562E13,0.7956482595135012
650,140,0.5396956953655871,4.619963199952174E13,0.6846873678468867
650,159.99999999999997,0.4360391153850002,6.246147286593612E13,0.5128006163904786
650,180,0.17512537490881458,6.4729370038537914E13,0.43200338312337894
650,200,0.02116152984544541,4.7666342126606016E13,0.5352544886955356
650,219.99999999999997,0.050832146766961545,2.9618278956413465E13,0.682344053568955
650,240,0.09587666353167804,2.224626792909247E13,0.7397183149286726
650,259.99999999999994,0.12898312009309118,2.0457382524334973E13,0.7407029325051512
650,280,0.14764118410740243,2.108676735106774E13,0.7121659658990658
650,300,0.14877098136151642,2.3126215937143293E13,0.6617796347808015
650,319.99999999999994,0.1297238494572475,2.5747151718383664E13,0.5983452791640353
650,340,0.09252367210553651,2.8109363523099156E13,0.5340873194746363
650,360,0.04415598874073984,3.094383275800334E13,0.456936035166795
650,379.99999999999994,0.010003222394701245,3.906055063274612E13,0.276402658765761
650,400,0.24070697519568915,3.460274299353693E13,0.3252459053272104
700,19.999999999999996,0.694905299111474,6.804444099933063E13,0.9285523118141765
700,39.99999999999999,0.5358017603404639,4.504230466637927E13,0.9054120131826945
700,60,0.46506313388070175,3.424758324315777E13,0.8921224819403083
700,79.99999999999999,0.44005036776021683,2.9789963838741297E13,0.8748816815466094
700,100,0.44178882180914975,2.96901678423122E13,0.844126763292792
700,120,0.4534740178382833,3.529124097499645E13,0.7776656578665484
700,140,0.49234472912741317,4.349833471339676E13,0.6802870928311808
700,159.99999999999997,0.31514063599829645,6.6608914269136805E13,0.44048480189025746
700,180,0.044861864340534616,5.118753144383327E13,0.5162778208609947
700,200,0.05476411106291985,3.5063655394661184E13,0.6318319531122675
700,219.99999999999997,0.12295310373995133,2.4907463356981824E13,0.7123188369658322
700,240,0.1596787197939003,2.4728255203191555E13,0.6884240193456077
700,259.99999999999994,0.16753231634971724,2.8573327657659617E13,0.609974536086162
700,280,0.1326835306690134,3.2598984082943023E13,0.520795360571706
700,300,0.07523832508403422,3.168307715425838E13,0.5009917804977264
700,319.99999999999994,0.03977754182773406,2.745029114185199E13,0.538835381619974
700,340,0.023655958292261203,2.4943249842169477E13,0.5547628713928916
700,360,0.010051024249798429,2.6791348517835203E13,0.49364386551376477
700,379.99999999999994,0.06637643018774964,3.579479750797305E13,0.28589381682712084
700,400,0.1699907605013246,3.481920839495038E13,0.26879646473161517
749.9999999999999,19.999999999999996,0.6790100242026926,6.810483218203017E13,0.9233818584912674
749.9999999999999,39.99999999999999,0.5078357626109741,4.449664218743405E13,0.8998817473159
749.9999999999999,60,0.4324183867093352,3.3012800601660188E13,0.8885777809651175
749.9999999999999,79.99999999999999,0.4047385055429366,2.786535406123503E13,0.874605961090734
749.9999999999999,100,0.4037022209501061,2.703665416925432E13,0.8479187349149191
749.9999999999999,120,0.4275254398977791,2.698827739331997E13,0.817829371086157
