h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
150,19.999999999999996,1550,0.9712091846766902,1.1330325933832041E13,0.9974510561404403
150,39.99999999999999,1550,0.9736088978121638,6.229079037302255E12,0.9971964968474385
150,60,1550,0.9743274979922091,4.3176890057670786E12,0.9970827048546914
150,79.99999999999999,1550,0.9744436897869109,3.3563227104560522E12,0.996979192834696
150,100,1550,0.9741715760885652,2.8090369525761807E12,0.9968391741821931
150,120,1550,0.9739748530503651,2.434063596273831E12,0.9967137974875244
150,140,1550,0.9736445152292987,2.1845520656650537E12,0.9965592244311745
150,159.99999999999997,1550,0.9733946822787645,2.00537122161858E12,0.9963901424085165
150,180,1550,0.97317833134838,1.8628124797929712E12,0.9962276814117847
150,200,1550,0.9730140586909872,1.7565472512965916E12,0.9960474695028525
150,219.99999999999997,1550,0.9728681374864173,1.6721793876308157E12,0.9958607935244649
150,240,1550,0.9727658540293904,1.6049535537010122E12,0.9956648474177496
150,259.99999999999994,1550,0.9726735870543806,1.5476282159351648E12,0.9954737234227871
150,280,1550,0.972596607893689,1.5000587998292014E12,0.9952741089196188
150,300,1550,0.9724830597605012,1.4475131978800828E12,0.9951133290661306
150,319.99999999999994,1550,0.9722721904549302,1.409461522011568E12,0.9949258346672365
150,340,1550,0.9718344939456054,1.3745713633747842E12,0.9947360445074104
150,360,1550,0.9704949151677461,1.411633168773709E12,0.9942774727401535
150,379.99999999999994,1550,0.9496385831349534,4.632897263389229E12,0.9801886420989895
150,400,1550,0.9686904460486425,3.3513125231815293E12,0.9849189549607097
200,19.999999999999996,1550,0.971679671004648,1.6019317812814033E13,0.9952210024008502
200,39.99999999999999,1550,0.9758876161457851,9.636407070709375E12,0.9942181219126807
200,60,1550,0.9778559124833015,6.930578280901208E12,0.993765384235209
200,79.99999999999999,1550,0.9787211867002064,5.491086670389668E12,0.9934074101767384
200,100,1550,0.979156290548028,4.608764497553E12,0.9930867295762101
200,120,1550,0.9791735923958872,4.0254927575318965E12,0.9927539156397297
200,140,1550,0.9790387942377562,3.594485259584618E12,0.9924515342182963
200,159.99999999999997,1550,0.9788461159486235,3.2748703606680874E12,0.9921402032369601
200,180,1550,0.9786675380382717,2.9991756159145176E12,0.9919021394648102
200,200,1550,0.9784654765174381,2.7926421490069526E12,0.9916220280344509
200,219.99999999999997,1550,0.9782565981078867,2.63668338478263E12,0.9912975812819732
200,240,1550,0.977929456977609,2.562340580109226E12,0.9907756245201927
200,259.99999999999994,1550,0.977408707127144,2.59544620267206E12,0.9898777136165483
200,280,1550,0.9762811747293791,2.7871396609552017E12,0.9882890822765612
200,300,1550,0.9740309066621169,3.2603887733989424E12,0.9853295917355972
200,319.99999999999994,1550,0.9694042291886497,4.2072354096095474E12,0.9798020338032484
200,340,1550,0.9590390928066841,6.186437090369243E12,0.9684493109899989
200,360,1550,0.9333817328209928,1.060756171599106E13,0.9427196460288833
200,379.99999999999994,1550,0.7911873787882141,3.661605306264648E13,0.7912892333521753
200,400,1550,0.9069064974994245,1.0773243887356836E13,0.9353597763908318
250,19.999999999999996,1550,0.9683726297086817,2.036709692452514E13,0.9923679332933717
250,39.99999999999999,1550,0.9738042250488715,1.3238615626084963E13,0.9900500755725562
250,60,1550,0.9768898541208081,1.0002435434694596E13,0.9887465575789576
250,79.99999999999999,1550,0.9784293279353027,8.210006709201519E12,0.9876849962246597
250,100,1550,0.9790931790296095,7.145083583781738E12,0.9866032231844736
250,120,1550,0.9791697354892333,6.457214745142059E12,0.9854707531942295
250,140,1550,0.9787771157358388,6.00771480955288E12,0.9842289569648984
250,159.99999999999997,1550,0.9779912454653411,5.737145049554955E12,0.9827882542627564
250,180,1550,0.9768452590131861,5.577778807902749E12,0.9811750631801734
250,200,1550,0.9751586114555941,5.573944876278096E12,0.9790975903868856
250,219.99999999999997,1550,0.9725746659290815,5.748604926977393E12,0.9762860929463164
250,240,1550,0.9686711235142772,6.144914722631703E12,0.9723482967068554
250,259.99999999999994,1550,0.973030015749563,4.757196967799157E12,0.9768085990417337
250,280,1550,0.9744496005004786,4.223808641825685E12,0.9778237985887568
250,300,1550,0.9714908791889678,4.492343401444681E12,0.9747289409848529
250,319.99999999999994,1550,0.9674958324299873,4.85925420947508E12,0.9708445593872961
250,340,1550,0.9604611242371828,5.560711101666848E12,0.9645505148862948
250,360,1550,0.9066588327239378,1.238649541869014E13,0.9163919960893221
250,379.99999999999994,1550,0.9068378694065073,1.3052933647978715E13,0.9069979316683181
250,400,1550,0.8417729435431561,1.89311898897226E13,0.8580165124930348
300,19.999999999999996,1550,0.9602159008813138,2.4497005819462438E13,0.9889749431934165
300,39.99999999999999,1550,0.965842911501797,1.6730343732357674E13,0.9849420503544432
300,60,1550,0.9699701078967743,1.3152778532690322E13,0.9822450513092104
300,79.99999999999999,1550,0.9719707914445684,1.122221036179128E13,0.9797999433152282
300,100,1550,0.972364078228262,1.0173935632221023E13,0.9771085616411451
300,120,1550,0.971172038253413,9.702877898383814E12,0.9738023056419862
300,140,1550,0.9678290616709734,9.833040980210996E12,0.969027287939664
300,159.99999999999997,1550,0.9599526380073106,1.1011674021155826E13,0.9603567152313854
300,180,1550,0.9357499164809048,1.5622397128777314E13,0.9367310415566724
300,200,1550,0.8011316352714253,4.163671182249725E13,0.8126340309725061
300,219.99999999999997,1550,0.879409068709849,2.253039066727523E13,0.8884733070974205
300,240,1550,0.9473749011425305,9.436220772666904E12,0.9490429013033705
300,259.99999999999994,1550,0.9529626397681051,7.973665591684287E12,0.9533544528069007
