h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
150,19.999999999999996,1550,0.9627656789666942,7.792368997973448E13,0.9824675441733762
150,39.99999999999999,1550,0.965165042811544,3.8362617987635445E13,0.9827363757230423
150,60,1550,0.9633653519065358,2.8865031167850777E13,0.9805134828492086
150,79.99999999999999,1550,0.959132232061517,2.620189345001773E13,0.9764181301132698
150,100,1550,0.9525443698128917,2.6439485354407785E13,0.9702550302396789
150,120,1550,0.9441677673407475,2.807019386474369E13,0.9621054602803989
150,140,1550,0.9347451042681029,3.007276727277591E13,0.9526350460117203
150,159.99999999999997,1550,0.9264785313069746,3.1190277612557973E13,0.9438575362670797
150,180,1550,0.9216065527028833,3.0396427313066156E13,0.9384472005663401
150,200,1550,0.9193840804374169,2.853310064285901E13,0.9358000108333052
150,219.99999999999997,1550,0.9188408154124238,2.6189455340121477E13,0.9351808631407095
150,240,1550,0.9189277861580374,2.3910907090585676E13,0.9354398980682956
150,259.99999999999994,1550,0.9193357327693394,2.1772686657678582E13,0.9363122240664608
150,280,1550,0.9207616703558238,1.954543513953403E13,0.938432399475671
150,300,1550,0.9219770549980423,1.7599261363321047E13,0.9406025084663266
150,319.99999999999994,1550,0.9241928317597136,1.546819110494182E13,0.9443141139508322
150,340,1550,0.9227770829919626,1.4351047264053504E13,0.9451073168021774
150,360,1550,0.9092613864102397,1.6079505468549986E13,0.9348761547941804
150,379.99999999999994,1550,0.8649879112663675,2.5610510577880273E13,0.890514691397567
200,19.999999999999996,1550,0.9467143366872816,1.3508521302916553E14,0.9595039588086954
200,39.99999999999999,1550,0.9476126757248565,7.351853163299995E13,0.9558888586181873
200,60,1550,0.9407507251655336,5.825692070299964E13,0.9475737524954723
200,79.99999999999999,1550,0.9287514351054434,5.391070383385753E13,0.9353061812691386
200,100,1550,0.9136559917448435,5.303738059338775E13,0.9204432916575845
200,120,1550,0.8987832606068042,5.225343062249143E13,0.9059440419900364
200,140,1550,0.889229023719562,4.946150143139677E13,0.8961302930208369
200,159.99999999999997,1550,0.8832111566930386,4.606870445039417E13,0.8894349545499173
200,180,1550,0.8813663286038957,4.178527383558386E13,0.8871780408599569
200,200,1550,0.8784606837940743,3.853856290567686E13,0.884384581422323
200,219.99999999999997,1550,0.8763435232933551,3.5489249789849375E13,0.8828858085498157
200,240,1550,0.8767040632707389,3.2169507777285777E13,0.8841892301380858
200,259.99999999999994,1550,0.8799562326965303,2.862962164477273E13,0.8883435525317225
200,280,1550,0.8842502330958366,2.5365178128317586E13,0.8934652226409959
200,300,1550,0.8868849841854555,2.2902979331247094E13,0.8969363600066218
200,319.99999999999994,1550,0.8846116667507706,2.1703624917590805E13,0.8958247862725116
200,340,1550,0.874385738130591,2.2163776878782266E13,0.8869661219654885
200,360,1550,0.8479975579139014,2.564559429704171E13,0.8615147616391983
200,379.99999999999994,1550,0.807300379031425,3.1873250827771215E13,0.8183230077983846
200,400,0,0,0,0
250,19.999999999999996,1550,0.9161049317082847,1.9767498054208403E14,0.92587840837555
250,39.99999999999999,1550,0.9058542941608689,1.2031726598360042E14,0.9097376407300227
250,60,1550,0.8834473825988632,1.0084173868922702E14,0.8865512514716347
250,79.99999999999999,1550,0.8552740382947132,9.388389231495927E13,0.859173571723558
250,100,1550,0.8220576046163296,9.211715467897506E13,0.8272800582661516
250,120,1550,0.8070969552248519,8.33640101177981E13,0.8124309185489391
250,140,1550,0.8081154832535781,7.163238732368828E13,0.8119642889959683
250,159.99999999999997,1550,0.8047010858197712,6.404167386178194E13,0.8078747467944081
250,180,1550,0.7973962926353968,5.8954571385497055E13,0.8010268741551274
250,200,1550,0.7842922523716632,5.6208491186493086E13,0.7892187796751781
250,219.99999999999997,1550,0.7782119908150503,5.22649184855867E13,0.7844066306763345
250,240,1550,0.7840478006946816,4.652173991887219E13,0.7906521923760511
250,259.99999999999994,1550,0.7942755911927323,4.08986245333775E13,0.8006190736790361
250,280,1550,0.8024784127915763,3.650257754125722E13,0.8083598063939217
250,300,1550,0.8042340849587855,3.3798370931481465E13,0.8098836329658848
